Support,Time
3,321.94532680511475
4,250.0835587978363
5,235.76828980445862
6,255.4773232936859
7,263.2260513305664
8,243.8933093547821
9,228.3675262928009
10,228.12204837799072
11,224.72657251358032
12,213.99073791503906
13,218.3026626110077
14,211.3767750263214
15,211.0247802734375
16,213.38350653648376
17,155.01776790618896
18,149.37350797653198
19,136.7285852432251
20,140.36253786087036
21,138.97452878952026
22,137.36482048034668
23,137.2382984161377
24,143.48508977890015
25,153.55675745010376
26,180.15330147743225
27,179.08728218078613
28,178.98929834365845
29,176.736332654953
30,176.54633498191833
31,183.45822954177856
32,181.86625409126282
33,185.0122058391571
34,162.3675558567047
35,124.87875747680664
36,143.33382892608643
37,171.3744637966156
38,171.66044306755066
39,172.6949326992035
40,170.9964258670807
41,172.2254045009613
42,172.24140191078186
43,172.09039855003357
44,172.5338532924652
45,173.79738116264343
46,161.81582808494568
47,122.23633337020874
48,146.7808220386505
49,171.51245403289795
50,168.66548132896423
51,170.2654447555542
52,172.0234179496765
53,164.32453441619873
54,169.5284559726715
55,163.21054983139038
56,164.00154161453247
57,166.3605043888092
58,161.03058671951294
59,169.77645802497864
60,162.56856083869934
61,138.92832684516907
62,109.99487090110779
63,112.25076127052307
64,114.93886756896973
65,113.99935698509216
66,105.24435544013977
67,112.82808136940002
68,110.27929735183716
69,88.91073417663574
70,88.6117582321167
71,88.12477731704712
72,88.50278496742249
73,88.26279044151306
74,88.17079758644104
75,88.61081218719482
76,88.98379254341125
77,87.75381016731262
78,87.6438102722168
79,87.37281489372253
80,86.87481808662415
81,87.27881479263306
82,86.23082947731018
83,86.22683095932007
84,86.45582675933838
85,85.73784041404724
86,86.65582418441772
87,85.75989365577698
88,85.52784299850464
89,85.23881506919861
90,84.66185450553894
91,85.20684623718262
92,84.43985795974731
93,84.01986503601074
94,84.53538012504578
95,83.58692121505737
96,84.01986455917358
97,83.30687308311462
98,83.5998694896698
99,82.69088172912598
100,83.47787070274353
101,82.57588267326355
102,82.15189266204834
103,82.50188136100769
104,82.90587902069092
105,81.95889091491699
106,82.53088402748108
107,81.66189622879028
108,81.59289646148682
109,81.53489804267883
110,81.69794201850891
111,81.12390351295471
112,80.7699077129364
113,80.85490655899048
114,80.98090672492981
115,80.04091238975525
116,80.49891376495361
117,80.69696307182312
118,79.79692244529724
119,80.21191596984863
120,80.02192330360413
121,79.72292160987854
122,79.08793258666992
123,79.6339259147644
124,79.044930934906
125,79.26592135429382
126,79.14992880821228
127,79.10793113708496
128,79.7129340171814
129,78.5299379825592
130,77.84894704818726
131,78.7769341468811
132,77.6260027885437
133,78.05394554138184
134,77.45895147323608
135,78.0615508556366
136,77.25595378875732
137,77.62795090675354
138,77.41295552253723
139,76.966956615448
140,77.32295346260071
141,76.54896020889282
142,76.64001369476318
143,76.53396248817444
144,75.8269739151001
145,76.27396082878113
146,76.61995482444763
147,75.67697095870972
148,76.13096809387207
149,75.51997447013855
150,75.6369743347168
151,75.22402596473694
152,75.4649760723114
153,74.92898368835449
154,75.2820336818695
155,74.93698406219482
156,75.14998531341553
157,74.74498963356018
158,74.67098259925842
159,74.3489921092987
160,74.15499544143677
161,74.5115065574646
162,74.06299114227295
163,73.68100023269653
164,73.83499813079834
165,73.69299554824829
166,73.70200729370117
167,73.77400183677673
168,73.20200657844543
169,73.60900330543518
170,72.71601462364197
171,72.9340648651123
172,73.26506066322327
173,72.781014919281
174,72.92401361465454
175,72.2290198802948
176,72.24202275276184
177,72.32701992988586
178,72.47002482414246
179,72.02907752990723
180,72.10603213310242
181,71.56102967262268
182,71.88302850723267
183,71.39854097366333
184,71.59203124046326
185,71.34203243255615
186,71.0680902004242
187,71.32503485679626
188,70.87103962898254
189,70.79403519630432
190,70.67804455757141
191,70.6550452709198
192,70.45304822921753
193,70.2080512046814
194,70.49804735183716
195,69.97905611991882
196,69.54506015777588
197,69.7640528678894
198,70.06205534934998
199,69.84405565261841
200,69.67006015777588
201,69.24606013298035
202,69.45806336402893
203,69.41711783409119
204,68.85907173156738
205,69.24706792831421
206,69.08506274223328
207,68.7420642375946
208,69.01606798171997
209,68.59007453918457
210,68.58607578277588
211,68.50807642936707
212,68.70507407188416
213,68.39107203483582
214,67.9090838432312
215,68.49506998062134
216,67.87008309364319
217,68.22008085250854
218,67.70008707046509
219,67.96408414840698
220,67.84213590621948
221,67.58008909225464
222,67.3570909500122
223,67.573082447052
224,67.7160849571228
225,67.62909507751465
226,67.03909659385681
227,67.53108406066895
228,66.87509870529175
229,67.1220965385437
230,66.91109895706177
231,66.9910979270935
232,66.59410881996155
233,66.70510029792786
234,66.36410427093506
235,66.26110529899597
236,66.20210647583008
237,66.34610319137573
238,66.24110651016235
239,65.85811018943787
240,65.85816645622253
241,65.74011278152466
242,66.111159324646
243,65.76711297035217
244,65.46811771392822
245,65.19912004470825
246,65.81011152267456
247,65.25311875343323
248,65.66511535644531
249,65.30517387390137
250,65.22517538070679
251,64.96217894554138
252,65.14312171936035
253,64.81512713432312
254,64.54813075065613
255,64.6941282749176
256,64.59512662887573
257,64.73512697219849
258,64.2491295337677
259,64.60512971878052
260,64.33613419532776
261,64.01213574409485
262,64.43013143539429
